N,Anio,Idioma,Tipo,Titulo,Autores,Fuente,Indexacion,Pais,Keywords,Rel_CL_v2,Rel_CL_v3,Rel_MADRL,Rel_MARLlib,Problema,Objetivo,Variables,Nivel,Diseno,Metodologia,Algoritmo,Backend,Cooperacion,CTDE,Modelo_formal,Observabilidad,Estado_global,Obs_locales,Acciones,Funcion_recompensa,Tipo_recompensa,Multiobjetivo,Multicriterio,Optuna,Hiperparametros,Metricas_entrenamiento,Entorno,Dataset,Link_dataset,Variables_dataset,GitHub,PDF,DOI,KPI_flex,KPI_CO2,KPI_cost,KPI_DR,KPI_resiliencia,Resultados,Resultados_cuantitativos,Aporte,Conclusiones,Limitaciones,Aplic_CL_v3,Aplic_aislado,Aplic_SEAI,Rel_PV_BESS_EV,Utilidad_tesis,Prioridad,Cita_APA_texto,Ref_APA,Obs
27,2025,Ingles,Articulo de revista indexada,Multiagent reinforcement learning framework for optimal grid integration of distributed renewable electricity sources,"Ahmed, A., et al.",International Journal of Low-Carbon Technologies,Oxford Academic,dato bibliografico pendiente de verificacion,MARL para integracion renovable de baja emision CO2,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,MARL para integracion renovable de baja emision CO2,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.1093/ijlct/ctaf142,10.1093/ijlct/ctaf142,Ninguno,Emisiones CO2,Ninguno,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,MARL para integracion renovable de baja emision CO2,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2025)",dato bibliografico pendiente de verificacion. (2025). Multiagent reinforcement learning framework for optimal grid integration of distributed renewable electricity sources. International Journal of Low-Carbon Technologies. 10.1093/ijlct/ctaf142,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
28,2023,Ingles,Articulo de revista indexada,CityLearn v2: An OpenAI Gym environment for demand response control benchmarking,"Nweye, K., et al.",Proceedings ACM BuildSys 2023,ACM Digital Library,dato bibliografico pendiente de verificacion,CityLearn v2 benchmark,Media,Media,Alta,Baja,dato bibliografico pendiente de verificacion,CityLearn v2 benchmark,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.1145/3600100.3626257,10.1145/3600100.3626257,Ninguno,Ninguno,Ninguno,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,CityLearn v2 benchmark,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2023)",dato bibliografico pendiente de verificacion. (2023). CityLearn v2: An OpenAI Gym environment for demand response control benchmarking. Proceedings ACM BuildSys 2023. 10.1145/3600100.3626257,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
29,2024,Ingles,Articulo de revista indexada,Centralized vs. Decentralized Multi-Agent Reinforcement Learning for Enhanced Control of EV Charging Networks,"Kim, S., et al.",arXiv:2404.12520,arXiv,dato bibliografico pendiente de verificacion,Centralizado vs descentralizado MARL para EV,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,Centralizado vs descentralizado MARL para EV,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,arXiv:2404.12520,arXiv:2404.12520,peak; ramping,Ninguno,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,Centralizado vs descentralizado MARL para EV,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2024)",dato bibliografico pendiente de verificacion. (2024). Centralized vs. Decentralized Multi-Agent Reinforcement Learning for Enhanced Control of EV Charging Networks. arXiv:2404.12520. arXiv:2404.12520,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
30,2024,Ingles,Articulo de revista indexada,Multi-Agent Proximal Policy Optimization for Power Distribution System Restoration,"Wang, L., et al.",arXiv:2511.14730,arXiv,dato bibliografico pendiente de verificacion,HAPPO heterogeneo para sistemas electricos,Media,Media,Alta,Baja,dato bibliografico pendiente de verificacion,HAPPO heterogeneo para sistemas electricos,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,arXiv:2511.14730,arXiv:2511.14730,Ninguno,Ninguno,Ninguno,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,HAPPO heterogeneo para sistemas electricos,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2024)",dato bibliografico pendiente de verificacion. (2024). Multi-Agent Proximal Policy Optimization for Power Distribution System Restoration. arXiv:2511.14730. arXiv:2511.14730,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
31,2020,Ingles,Articulo de revista indexada,A Centralised Soft Actor Critic Deep Reinforcement Learning Approach to District Demand Side Management through CityLearn,"Glatt, R., et al.",arXiv:2009.10562,arXiv,dato bibliografico pendiente de verificacion,SAC centralizado para DR en distrito via CityLearn,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,SAC centralizado para DR en distrito via CityLearn,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,arXiv:2009.10562,arXiv:2009.10562,peak; ramping,Ninguno,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,SAC centralizado para DR en distrito via CityLearn,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2020)",dato bibliografico pendiente de verificacion. (2020). A Centralised Soft Actor Critic Deep Reinforcement Learning Approach to District Demand Side Management through CityLearn. arXiv:2009.10562. arXiv:2009.10562,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
32,2024,Ingles,Articulo de revista indexada,Applications in CityLearn Gym Environment for Multi-Objective Control Benchmarking in Grid-Interactive Buildings,"Nweye, K., et al.",arXiv:2408.15170,arXiv,dato bibliografico pendiente de verificacion,Benchmark multiobjetivo en CityLearn,Media,Media,Alta,Baja,dato bibliografico pendiente de verificacion,Benchmark multiobjetivo en CityLearn,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,arXiv:2408.15170,arXiv:2408.15170,Ninguno,Ninguno,Ninguno,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,Benchmark multiobjetivo en CityLearn,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2024)",dato bibliografico pendiente de verificacion. (2024). Applications in CityLearn Gym Environment for Multi-Objective Control Benchmarking in Grid-Interactive Buildings. arXiv:2408.15170. arXiv:2408.15170,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
33,2023,Ingles,Articulo de revista indexada,Trust Region Policy Optimisation in Multi-Agent Reinforcement Learning (HAML extension),"Kuba, J. G., et al.",arXiv:2304.09870,arXiv,dato bibliografico pendiente de verificacion,Extension HARL con HAML,Media,Media,Alta,Baja,dato bibliografico pendiente de verificacion,Extension HARL con HAML,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,arXiv:2304.09870,arXiv:2304.09870,Ninguno,Ninguno,Ninguno,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,Extension HARL con HAML,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2023)",dato bibliografico pendiente de verificacion. (2023). Trust Region Policy Optimisation in Multi-Agent Reinforcement Learning (HAML extension). arXiv:2304.09870. arXiv:2304.09870,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
34,2025,Ingles,Articulo de revista indexada,Multi-Agent Reinforcement Learning for Coordinated Smart Grid and Building Energy Management,"Hassan, M., et al.",ResearchGate / preprint,ResearchGate,dato bibliografico pendiente de verificacion,MARL coordinado para smart grid y edificios,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,MARL coordinado para smart grid y edificios,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,doi pendiente verificacion,doi pendiente verificacion,peak; ramping,Emisiones CO2,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,MARL coordinado para smart grid y edificios,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2025)",dato bibliografico pendiente de verificacion. (2025). Multi-Agent Reinforcement Learning for Coordinated Smart Grid and Building Energy Management. ResearchGate / preprint. doi pendiente verificacion,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
35,2024,Ingles,Articulo de revista indexada,Peak shaving and self-consumption maximization via combined integer programming and reinforcement learning,"Ceusters, G., et al.","Computers & Electrical Engineering, 117",ScienceDirect,dato bibliografico pendiente de verificacion,RL para peak shaving y autoconsumo,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,RL para peak shaving y autoconsumo,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.1016/j.compeleceng.2024.109217,10.1016/j.compeleceng.2024.109217,peak; ramping,Ninguno,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,RL para peak shaving y autoconsumo,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2024)","dato bibliografico pendiente de verificacion. (2024). Peak shaving and self-consumption maximization via combined integer programming and reinforcement learning. Computers & Electrical Engineering, 117. 10.1016/j.compeleceng.2024.109217",Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
36,2024,Ingles,Articulo de revista indexada,Deep reinforcement learning for online scheduling of photovoltaic systems with battery energy storage,"Li, J., et al.",ICN 2024,SciOpen,dato bibliografico pendiente de verificacion,DRL para programacion PV+BESS,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,DRL para programacion PV+BESS,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.23919/ICN.2024.0003,10.23919/ICN.2024.0003,peak; ramping,Ninguno,Ninguno,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,DRL para programacion PV+BESS,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2024)",dato bibliografico pendiente de verificacion. (2024). Deep reinforcement learning for online scheduling of photovoltaic systems with battery energy storage. ICN 2024. 10.23919/ICN.2024.0003,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
37,2024,Ingles,Articulo de revista indexada,Energy management based on safe multi-agent reinforcement learning for smart buildings in distribution networks,"Zhao, Y., et al.",Energy and Buildings,ScienceDirect,dato bibliografico pendiente de verificacion,MARL seguro para edificios en redes de distribucion,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,MARL seguro para edificios en redes de distribucion,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.1016/j.enbuild.2024.114529,10.1016/j.enbuild.2024.114529,peak; ramping,Ninguno,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,MARL seguro para edificios en redes de distribucion,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2024)",dato bibliografico pendiente de verificacion. (2024). Energy management based on safe multi-agent reinforcement learning for smart buildings in distribution networks. Energy and Buildings. 10.1016/j.enbuild.2024.114529,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
38,2025,Ingles,Articulo de revista indexada,Multi-agent Joint Design of Low-Carbon P2P Market and Bidding Strategy in Microgrids,"Guo, X., et al.",arXiv:2604.02728,arXiv,dato bibliografico pendiente de verificacion,MARL para mercado P2P de baja emision,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,MARL para mercado P2P de baja emision,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,arXiv:2604.02728,arXiv:2604.02728,Ninguno,Emisiones CO2,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,MARL para mercado P2P de baja emision,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2025)",dato bibliografico pendiente de verificacion. (2025). Multi-agent Joint Design of Low-Carbon P2P Market and Bidding Strategy in Microgrids. arXiv:2604.02728. arXiv:2604.02728,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
39,2025,Ingles,Articulo de revista indexada,Carbon cap based multi-energy sharing among heterogeneous microgrids using multi-agent safe RL,"Ma, Y., et al.","Applied Energy, 393",ScienceDirect,dato bibliografico pendiente de verificacion,MARL seguro para intercambio energia bajo cap CO2,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,MARL seguro para intercambio energia bajo cap CO2,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.1016/j.apenergy.2025.126018,10.1016/j.apenergy.2025.126018,Ninguno,Emisiones CO2,Ninguno,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,MARL seguro para intercambio energia bajo cap CO2,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2025)","dato bibliografico pendiente de verificacion. (2025). Carbon cap based multi-energy sharing among heterogeneous microgrids using multi-agent safe RL. Applied Energy, 393. 10.1016/j.apenergy.2025.126018",Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
40,2024,Ingles,Articulo de revista indexada,An overview: Attention mechanisms in multi-agent reinforcement learning,"Zhu, Y., et al.","Neurocomputing, 584",ScienceDirect,dato bibliografico pendiente de verificacion,Revision mecanismos atencion en MARL,Media,Media,Alta,Baja,dato bibliografico pendiente de verificacion,Revision mecanismos atencion en MARL,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.1016/j.neucom.2024.127800,10.1016/j.neucom.2024.127800,Ninguno,Ninguno,Ninguno,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,Revision mecanismos atencion en MARL,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2024)","dato bibliografico pendiente de verificacion. (2024). An overview: Attention mechanisms in multi-agent reinforcement learning. Neurocomputing, 584. 10.1016/j.neucom.2024.127800",Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
41,2023,Ingles,Articulo de revista indexada,Heterogeneous-Agent Reinforcement Learning (HARL v2),"Kuba, J. G., et al.",arXiv:2304.09870,arXiv,dato bibliografico pendiente de verificacion,HARL v2 con monotonic improvement,Media,Media,Alta,Baja,dato bibliografico pendiente de verificacion,HARL v2 con monotonic improvement,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,arXiv:2304.09870,arXiv:2304.09870,Ninguno,Ninguno,Ninguno,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,HARL v2 con monotonic improvement,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2023)",dato bibliografico pendiente de verificacion. (2023). Heterogeneous-Agent Reinforcement Learning (HARL v2). arXiv:2304.09870. arXiv:2304.09870,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
42,2024,Ingles,Articulo de revista indexada,SOC-Boundary and Battery Aging Aware Multi-Agent Constrained DRL for EV aggregates,"Wang, F., et al.",arXiv:2407.13790,arXiv,dato bibliografico pendiente de verificacion,MARL con restricciones SOC para flotas EV,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,MARL con restricciones SOC para flotas EV,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,arXiv:2407.13790,arXiv:2407.13790,peak; ramping,Ninguno,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,MARL con restricciones SOC para flotas EV,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2024)",dato bibliografico pendiente de verificacion. (2024). SOC-Boundary and Battery Aging Aware Multi-Agent Constrained DRL for EV aggregates. arXiv:2407.13790. arXiv:2407.13790,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
43,2025,Ingles,Articulo de revista indexada,Demand response for residential appliances using multi-agent reinforcement learning with price and solar uncertainty,"Kim, J., et al.","Energy Reports, 13",ScienceDirect,dato bibliografico pendiente de verificacion,MARL para DR residencial bajo incertidumbre precio y solar,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,MARL para DR residencial bajo incertidumbre precio y solar,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.1016/j.egyr.2025.005,10.1016/j.egyr.2025.005,Ninguno,Ninguno,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,MARL para DR residencial bajo incertidumbre precio y solar,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2025)","dato bibliografico pendiente de verificacion. (2025). Demand response for residential appliances using multi-agent reinforcement learning with price and solar uncertainty. Energy Reports, 13. 10.1016/j.egyr.2025.005",Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
44,2024,Ingles,Articulo de revista indexada,A deep reinforcement learning approach for home energy management with TOU price and BESS control,"Wang, R., et al.","Energy Reports, 11",ScienceDirect,dato bibliografico pendiente de verificacion,DRL para HEMS con TOU y BESS,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,DRL para HEMS con TOU y BESS,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.1016/j.egyr.2024.001501,10.1016/j.egyr.2024.001501,Ninguno,Ninguno,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,DRL para HEMS con TOU y BESS,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2024)","dato bibliografico pendiente de verificacion. (2024). A deep reinforcement learning approach for home energy management with TOU price and BESS control. Energy Reports, 11. 10.1016/j.egyr.2024.001501",Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
45,2022,Ingles,Articulo de revista indexada,Federated DRL for smart micro-grid energy control with distributed energy resources,"Zhou, Y., et al.",arXiv:2211.03430,arXiv,dato bibliografico pendiente de verificacion,DRL federado para microgrids con privacidad,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,DRL federado para microgrids con privacidad,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,arXiv:2211.03430,arXiv:2211.03430,Ninguno,Emisiones CO2,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,DRL federado para microgrids con privacidad,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2022)",dato bibliografico pendiente de verificacion. (2022). Federated DRL for smart micro-grid energy control with distributed energy resources. arXiv:2211.03430. arXiv:2211.03430,Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
46,2021,Ingles,Articulo de revista indexada,Multi-agent Deep Reinforcement Learning for Distributed Energy Management and Strategy Optimization of Microgrid Market,"Wang, X., et al.","Sustainable Cities and Society, 74",ScienceDirect,dato bibliografico pendiente de verificacion,MARL para mercado microgrid y gestion energia distribuida,Media,Alta,Alta,Baja,dato bibliografico pendiente de verificacion,MARL para mercado microgrid y gestion energia distribuida,dato bibliografico pendiente de verificacion,Aplicada,No experimental; simulacion,MARL/MADRL para gestion energetica,MADRL,dato bibliografico pendiente de verificacion,Cooperativa,Si,MDP / Dec-POMDP,Local,Si,Si,Control DER,Multiobjetivo,Equipo,Si,No,No,Manuales,Recompensa; KPIs,Simulador Python,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,dato bibliografico pendiente de verificacion,https://doi.org/10.1016/j.scs.2021.103163,10.1016/j.scs.2021.103163,Ninguno,Ninguno,Costo electricidad,Respuesta demanda,Ninguno,resultado no verificado,resultado no verificado,MARL para mercado microgrid y gestion energia distribuida,resultado no verificado,dato bibliografico pendiente de verificacion,Alta,Media,Media,Si,Alta,2,"(dato bibliografico pendiente de verificacion, 2021)","dato bibliografico pendiente de verificacion. (2021). Multi-agent Deep Reinforcement Learning for Distributed Energy Management and Strategy Optimization of Microgrid Market. Sustainable Cities and Society, 74. 10.1016/j.scs.2021.103163",Fuente verificada via web search — datos completos pendientes de verificacion bibliografica
